country,2012_gni,2022_gni
Afghanistan,714,519
Angola,4730,2070
Albania,4940,5710
United Arab Emirates,44400,39200
Argentina,13500,9640
Armenia,4400,4410
Antigua and Barbuda,14500,14500
Australia,68300,57100
Austria,56700,51500
Azerbaijan,7340,4550
Burundi,283,231
Belgium,53400,48700
Benin,1270,1350
Burkina Faso,827,797
Bangladesh,1100,2320
Bulgaria,8490,10600
Bahrain,24900,20400
Bahamas,32400,28200
Bosnia and Herzegovina,5660,6560
Belarus,7510,6450
Belize,4650,4270
Bolivia,2550,3390
Brazil,13900,8240
Barbados,17800,16000
Brunei,48000,32700
Bhutan,2710,2890
Botswana,8220,7220
Central African Republic,646,523
Canada,57900,47000
Switzerland,99500,85800
Chile,16300,14500
China,6700,12000
Cote d'Ivoire,1410,2440
Cameroon,1610,1560
"Congo, Dem. Rep.",431,561
"Congo, Rep.",3970,1710
Colombia,8260,6190
Comoros,1610,1360
Cape Verde,3900,3350
Costa Rica,10500,12000
Cuba,7120,9750
Cyprus,33600,27300
Czech Republic,22000,23800
Germany,52700,50700
Djibouti,2460,3470
Dominica,7760,7670
Denmark,69900,66200
Dominican Republic,6560,7890
Algeria,5890,3640
Ecuador,6110,5580
Egypt,3220,3120
Eritrea,392,475
Spain,33500,30300
Estonia,19100,25000
Ethiopia,465,956
Finland,55500,52100
Fiji,4690,5540
France,49200,43300
"Micronesia, Fed. Sts.",3570,3900
Gabon,10300,7130
United Kingdom,47500,43500
Georgia,4700,4670
Ghana,1730,2490
Guinea,793,1080
Gambia,861,798
Guinea-Bissau,714,779
Equatorial Guinea,15700,5330
Greece,26300,19700
Grenada,7970,9640
Guatemala,3580,4690
Guyana,6000,7720
"Hong Kong, China",41200,52000
Honduras,2210,2270
Croatia,15400,16200
Haiti,1470,1310
Hungary,14800,17600
Indonesia,4060,4200
India,1680,2270
Ireland,46100,70400
Iran,8080,3040
Iraq,7150,4690
Iceland,46100,65000
Israel,36900,45000
Italy,41000,34900
Jamaica,5640,5000
Jordan,4220,4430
Japan,56100,43100
Kazakhstan,11300,9110
Kenya,1190,2000
Kyrgyz Republic,1180,1230
Cambodia,997,1620
Kiribati,2970,2990
St. Kitts and Nevis,17500,20200
South Korea,29100,35100
Kuwait,56300,32500
Lao,1550,2710
Lebanon,8570,4720
Liberia,646,589
Libya,13100,11800
St. Lucia,10000,9660
Sri Lanka,3810,3980
Lesotho,1700,1160
Lithuania,16000,20900
Luxembourg,99600,84000
Latvia,15600,19600
Morocco,3380,3170
Moldova,3560,5140
Madagascar,567,485
Maldives,7510,8460
Mexico,11400,9010
Marshall Islands,3930,4960
North Macedonia,5410,6210
Mali,827,863
Malta,25100,27400
Myanmar,1060,1230
Montenegro,7930,9070
Mongolia,4140,4080
Mozambique,680,466
Mauritania,1990,1740
Mauritius,10800,11500
Malawi,521,597
Malaysia,11500,11600
Namibia,6490,4510
Niger,623,615
Nigeria,2770,2000
Nicaragua,1890,1870
Netherlands,60000,54100
Norway,112000,83600
Nepal,873,1240
Nauru,10100,15800
New Zealand,41600,43800
Oman,21900,14500
Pakistan,1270,1290
Panama,10800,14200
Peru,6560,6740
Philippines,3240,3790
Palau,14500,13900
Papua New Guinea,2570,2820
Poland,14900,16500
Portugal,24000,23800
Paraguay,5380,5450
Palestine,3640,4000
Qatar,82600,59100
Romania,9930,14000
Russia,15300,11500
Rwanda,793,842
Saudi Arabia,27200,22600
Sudan,1720,627
Senegal,1500,1510
Singapore,58600,58300
Solomon Islands,2060,2340
Sierra Leone,601,521
El Salvador,3640,3850
Somalia,340,321
Serbia,6890,8210
South Sudan,963,1060
Sao Tome and Principe,1390,2140
Suriname,9690,4610
Slovak Republic,20100,20600
Slovenia,26300,27300
Sweden,67000,55600
Eswatini,4880,3420
Seychelles,13100,12700
Syria,3240,1270
Chad,1090,620
Togo,669,948
Thailand,6260,7600
Tajikistan,1300,1120
Turkmenistan,6300,7780
Timor-Leste,4050,1830
Tonga,4900,5200
Trinidad and Tobago,19100,16200
Tunisia,4900,3440
Turkey,13600,9700
Tuvalu,5020,6130
Tanzania,918,1090
Uganda,941,842
Ukraine,3970,3840
Uruguay,15100,16700
United States,59800,70300
Uzbekistan,2450,1860
St. Vincent and the Grenadines,7250,7650
Venezuela,14400,3180
Vietnam,1750,2970
Vanuatu,3210,3270
Samoa,4150,3730
Yemen,1430,856
South Africa,9490,6130
Zambia,1920,1110
Zimbabwe,1430,1170
